#tagged CSV –> tCSV
#this header contains information to mygdal algorithms
#delimiter=,
#has_header=True
#decimal_point=.
#x_field=longitude
#y_field=latitude
#from_date_field=from
#to_date_field=to
#class_field=class
#projection_wkt=PROJCS["WGS 84 / UTM zone 21N",GEOGCS["WGS 84",DATUM["WGS_1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.0174532925199433,AUTHORITY["EPSG","9122"]],AUTHORITY["EPSG","4326"]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",-57],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AXIS["Easting",EAST],AXIS["Northing",NORTH],AUTHORITY["EPSG","32621"]]
#timeline_filepath=timeline_new.csv
#bands_filepaths=/dados/d2/rolf/STACK/ndvi.tif,/dados/d2/rolf/STACK/evi.tif
#bands_factors=10,10
"id","longitude","latitude","class","from","to"
191,615753.911814698,-1331275.45047389,"Soybean-maize",2010-09-01,2011-09-01
192,615753.911814698,-1331275.45047389,"Soybean-maize",2010-09-01,2011-09-01
193,615753.911814698,-1331275.45047389,"Soybean-maize",2010-09-01,2011-09-01
194,615753.911814698,-1331275.45047389,"Soybean-maize",2010-09-01,2011-09-01
195,615753.911814698,-1331275.45047389,"Soybean-maize",2010-09-01,2011-09-01
196,617426.219558975,-1331036.34674705,"Soybean-maize",2010-09-01,2011-09-01
197,617426.219558975,-1331036.34674705,"Soybean-maize",2010-09-01,2011-09-01
198,615133.606500583,-1331305.09288331,"Soybean-maize",2010-09-01,2011-09-01
199,615125.520982838,-1330674.98163923,"Soybean-maize",2010-09-01,2011-09-01
200,615125.520982838,-1330674.98163923,"Soybean-maize",2010-09-01,2011-09-01
201,615125.520982838,-1330674.98163923,"Soybean-maize",2010-09-01,2011-09-01
202,617563.92139183,-1330769.90285467,"Soybean-maize",2010-09-01,2011-09-01
203,617426.219558975,-1331036.34674705,"Soybean-maize",2010-09-01,2011-09-01
204,615753.911814698,-1331275.45047389,"Soybean-maize",2010-09-01,2011-09-01
205,617563.92139183,-1330769.90285467,"Soybean-maize",2010-09-01,2011-09-01
206,612703.206667536,-1328493.41528387,"Soybean-maize",2010-09-01,2011-09-01
207,611399.655219526,-1329179.76410712,"Soybean-maize",2010-09-01,2011-09-01
208,612279.169670562,-1329413.45823609,"Soybean-maize",2010-09-01,2011-09-01
209,611951.156605407,-1329873.04714509,"Soybean-maize",2010-09-01,2011-09-01
210,612191.400263392,-1328721.90286884,"Soybean-maize",2010-09-01,2011-09-01
211,612935.098025205,-1328494.28859159,"Soybean-maize",2010-09-01,2011-09-01
212,611999.221748249,-1329642.81825783,"Soybean-maize",2010-09-01,2011-09-01
213,612231.112719978,-1329643.68688876,"Soybean-maize",2010-09-01,2011-09-01
214,612878.721295707,-1329876.53158457,"Soybean-maize",2010-09-01,2011-09-01
215,611311.861530208,-1328488.21314868,"Soybean-maize",2010-09-01,2011-09-01
216,611815.387821776,-1329411.72233636,"Soybean-maize",2010-09-01,2011-09-01
217,612047.278680412,-1329412.58938772,"Soybean-maize",2010-09-01,2011-09-01
218,612414.938664831,-1329874.78576944,"Soybean-maize",2010-09-01,2011-09-01
219,613062.539393357,-1330107.6350184,"Soybean-maize",2010-09-01,2011-09-01
220,612847.229952742,-1327802.73026433,"Soybean-maize",2010-09-01,2011-09-01
221,613263.013323716,-1328034.70786866,"Soybean-maize",2010-09-01,2011-09-01
222,613494.905002542,-1328035.5851981,"Soybean-maize",2010-09-01,2011-09-01
223,614390.390379953,-1325965.3005415,"Soybean-maize",2010-09-01,2011-09-01
224,611351.606541413,-1329409.99362477,"Soybean-maize",2010-09-01,2011-09-01
225,611767.33090797,-1329641.95142421,"Soybean-maize",2010-09-01,2011-09-01
226,613526.322846996,-1330109.39118764,"Soybean-millet",2010-09-01,2011-09-01
227,612471.315463997,-1328492.54377197,"Soybean-millet",2010-09-01,2011-09-01
228,612895.221304229,-1327572.50196076,"Soybean-millet",2010-09-01,2011-09-01
229,611079.971169054,-1328487.35241127,"Soybean-millet",2010-09-01,2011-09-01
230,611727.618593052,-1328720.16925808,"Soybean-millet",2010-09-01,2011-09-01
231,611679.586297316,-1328950.39851163,"Soybean-millet",2010-09-01,2011-09-01
232,612463.00383434,-1329644.55731707,"Soybean-millet",2010-09-01,2011-09-01
233,612694.895102513,-1329645.42954278,"Soybean-millet",2010-09-01,2011-09-01
234,612183.047569277,-1329873.91555845,"Soybean-millet",2010-09-01,2011-09-01
235,612646.829914134,-1329875.65777818,"Soybean-millet",2010-09-01,2011-09-01
236,613110.612831621,-1329877.4071887,"Soybean-millet",2010-09-01,2011-09-01
237,612423.291317745,-1328722.77236837,"Soybean-millet",2010-09-01,2011-09-01
238,612655.182504097,-1328723.64366394,"Soybean-millet",2010-09-01,2011-09-01
239,612607.150138696,-1328953.87204948,"Soybean-millet",2010-09-01,2011-09-01
240,613766.608179093,-1328958.2543912,"Soybean-millet",2010-09-01,2011-09-01
241,613486.675641843,-1329187.60186845,"Soybean-millet",2010-09-01,2011-09-01
242,612711.313145373,-1327341.40108267,"Soybean-millet",2010-09-01,2011-09-01
243,613031.12178885,-1328033.83233437,"Soybean-millet",2010-09-01,2011-09-01
244,613678.788989721,-1328266.69179824,"Soybean-millet",2010-09-01,2011-09-01
245,614094.556961646,-1328498.68206695,"Soybean-millet",2010-09-01,2011-09-01
246,614438.316210837,-1325735.07341977,"Soybean-millet",2010-09-01,2011-09-01
247,611167.76476848,-1329178.90222834,"Soybean-millet",2010-09-01,2011-09-01
248,613534.716280833,-1328957.37432999,"Soybean-millet",2010-09-01,2011-09-01
249,615621.748551671,-1328965.35955321,"Soybean-millet",2010-09-01,2011-09-01
250,613318.996205245,-1326652.46392556,"Soybean-millet",2010-09-01,2011-09-01
251,614742.209735968,-1328731.56614931,"Soybean-millet",2010-09-01,2011-09-01
252,615389.855499313,-1328964.46512033,"Soybean-millet",2010-09-01,2011-09-01
253,615805.600927596,-1329196.48118422,"Soybean-millet",2010-09-01,2011-09-01
254,613294.431053631,-1330108.51220402,"Soybean-millet",2010-09-01,2011-09-01
255,612887.073844515,-1328724.51675564,"Soybean-millet",2010-09-01,2011-09-01
256,613118.965328409,-1328725.39164345,"Soybean-millet",2010-09-01,2011-09-01
257,612839.041461539,-1328954.74492498,"Soybean-millet",2010-09-01,2011-09-01
258,613438.626789406,-1329417.82943383,"Soybean-millet",2010-09-01,2011-09-01
259,613079.121360221,-1327803.60421891,"Soybean-millet",2010-09-01,2011-09-01
260,613446.897183433,-1328265.81288831,"Soybean-millet",2010-09-01,2011-09-01
261,614974.102378278,-1328732.45540613,"Soybean-millet",2010-09-01,2011-09-01
262,614926.069823382,-1328962.68164397,"Soybean-millet",2010-09-01,2011-09-01
263,614238.580581224,-1327808.00091432,"Soybean-millet",2010-09-01,2011-09-01
264,613974.532032168,-1325733.30910649,"Soybean-millet",2010-09-01,2011-09-01
265,614622.282662793,-1325966.18517397,"Soybean-millet",2010-09-01,2011-09-01
266,615157.962582724,-1328963.57248389,"Soybean-millet",2010-09-01,2011-09-01
267,615573.707736127,-1329195.58516705,"Soybean-millet",2010-09-01,2011-09-01
268,615341.814702432,-1329194.69094673,"Soybean-millet",2010-09-01,2011-09-01
269,613302.82452687,-1328956.49606521,"Soybean-millet",2010-09-01,2011-09-01
270,614326.449184972,-1328499.56614944,"Soybean-millet",2010-09-01,2011-09-01
271,614510.317239492,-1328730.67868864,"Soybean-millet",2010-09-01,2011-09-01
272,614158.49824253,-1325964.41770131,"Soybean-millet",2010-09-01,2011-09-01
273,613271.037635473,-1326882.69195028,"Soybean-millet",2010-09-01,2011-09-01
274,613254.783905969,-1329186.72381911,"Soybean-millet",2010-09-01,2011-09-01
275,614422.473174236,-1328039.11246749,"Soybean-millet",2010-09-01,2011-09-01
276,613350.856956073,-1328726.26832736,"Soybean-millet",2010-09-01,2011-09-01
277,613582.748716916,-1328727.14680735,"Soybean-millet",2010-09-01,2011-09-01
278,613070.932927795,-1328955.6195969,"Soybean-millet",2010-09-01,2011-09-01
279,612791.000876627,-1329184.97311073,"Soybean-millet",2010-09-01,2011-09-01
280,613022.89232492,-1329185.84756657,"Soybean-millet",2010-09-01,2011-09-01
281,614206.424048911,-1325734.19036715,"Soybean-millet",2010-09-01,2011-09-01
282,612375.258969856,-1328953.00097043,"Soybean-millet",2010-09-01,2011-09-01
283,613718.567511063,-1329188.48171451,"Soybean-millet",2010-09-01,2011-09-01
284,613206.735082832,-1329416.95160017,"Soybean-millet",2010-09-01,2011-09-01
285,611191.839059211,-1325722.87374972,"Soybean-millet",2010-09-01,2011-09-01
286,611391.220318956,-1330331.77442257,"Soybean-millet",2010-09-01,2011-09-01
287,611623.110960369,-1330332.63880346,"Soybean-millet",2010-09-01,2011-09-01
288,612038.802898563,-1330564.60168122,"Soybean-millet",2010-09-01,2011-09-01
289,611607.694189567,-1325954.82474849,"Soybean-millet",2010-09-01,2011-09-01
290,612023.541609089,-1326186.7820574,"Soybean-millet",2010-09-01,2011-09-01
291,611927.649310008,-1326647.24065052,"Soybean-millet",2010-09-01,2011-09-01
292,611079.971169054,-1328487.35241127,"Soybean-millet",2010-09-01,2011-09-01
293,611727.618593052,-1328720.16925808,"Soybean-millet",2010-09-01,2011-09-01
294,611679.586297316,-1328950.39851163,"Soybean-millet",2010-09-01,2011-09-01
295,611167.76476848,-1329178.90222834,"Soybean-millet",2010-09-01,2011-09-01
296,610327.923868995,-1329867.01858652,"Soybean-millet",2010-09-01,2011-09-01
297,610559.813843143,-1329867.87441623,"Soybean-millet",2010-09-01,2011-09-01
298,611023.594191477,-1329869.59146851,"Soybean-millet",2010-09-01,2011-09-01
299,609632.254808398,-1329864.4618833,"Soybean-millet",2010-09-01,2011-09-01
300,609767.989808799,-1330325.77410882,"Soybean-millet",2010-09-01,2011-09-01
301,611526.923311082,-1330793.09714781,"Cotton-fallow",2011-09-01,2012-09-01
302,611423.729356739,-1325723.73350726,"Cotton-fallow",2011-09-01,2012-09-01
303,610424.04567652,-1329406.55776584,"Cotton-fallow",2011-09-01,2012-09-01
304,610375.988871519,-1329636.7881669,"Cotton-fallow",2011-09-01,2012-09-01
305,610607.878863969,-1329637.64421647,"Cotton-fallow",2011-09-01,2012-09-01
306,610839.768986099,-1329638.50206332,"Cotton-fallow",2011-09-01,2012-09-01
307,610791.703946911,-1329868.73204355,"Cotton-fallow",2011-09-01,2012-09-01
308,610511.740613932,-1330098.10464546,"Cotton-fallow",2011-09-01,2012-09-01
309,610599.361761723,-1330789.65216955,"Cotton-fallow",2011-09-01,2012-09-01
310,609623.696483784,-1331016.46693023,"Cotton-fallow",2011-09-01,2012-09-01
311,610039.361596966,-1331248.40151983,"Cotton-fallow",2011-09-01,2012-09-01
312,611007.866245356,-1325491.78547118,"Cotton-fallow",2011-09-01,2012-09-01
313,614334.555315212,-1327347.54689553,"Cotton-fallow",2011-09-01,2012-09-01
314,614054.679894934,-1327576.890755,"Cotton-fallow",2011-09-01,2012-09-01
315,610959.948903033,-1325722.01578406,"Cotton-fallow",2011-09-01,2012-09-01
316,611143.913489401,-1325953.10387433,"Cotton-fallow",2011-09-01,2012-09-01
317,611375.803763249,-1325953.96341528,"Cotton-fallow",2011-09-01,2012-09-01
318,611839.584746875,-1325955.68787388,"Cotton-fallow",2011-09-01,2012-09-01
319,611559.760378851,-1326185.05444628,"Cotton-fallow",2011-09-01,2012-09-01
320,611743.708894611,-1326416.14685419,"Cotton-fallow",2011-09-01,2012-09-01
321,611975.599567154,-1326417.01134004,"Cotton-fallow",2011-09-01,2012-09-01
